,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Data & Hora
123,0.34,0.0,0.0,None,2021-10-04 03:00:00
124,0.333,0.0,0.0,None,2021-10-04 04:00:00
125,0.337,0.0,0.0,None,2021-10-04 05:00:00
126,0.319,0.0,0.0,None,2021-10-04 06:00:00
127,0.33,0.0,0.002,None,2021-10-04 07:00:00
128,0.447,0.0,0.048,None,2021-10-04 08:00:00
129,0.372,0.0,0.129,None,2021-10-04 09:00:00
130,0.024,0.0,0.337,Medium,2021-10-04 10:00:00
131,0.013,0.0,0.298,Medium,2021-10-04 11:00:00
132,0.001,0.0,0.311,Medium,2021-10-04 12:00:00
133,0.182,0.0,0.237,None,2021-10-04 13:00:00
134,0.029,0.0,0.484,Medium,2021-10-04 14:00:00
135,0.084,0.0,0.424,Medium,2021-10-04 15:00:00
136,0.052,0.0,0.403,Medium,2021-10-04 16:00:00
137,0.25,0.0,0.237,Medium,2021-10-04 17:00:00
138,0.364,0.0,0.039,None,2021-10-04 18:00:00
139,0.638,0.0,0.0,None,2021-10-04 19:00:00
140,0.664,0.0,0.0,None,2021-10-04 20:00:00
141,0.699,0.0,0.0,None,2021-10-04 21:00:00
142,0.734,0.0,0.0,None,2021-10-04 22:00:00
143,0.5,0.0,0.0,None,2021-10-04 23:00:00
144,0.546,0.0,0.0,None,2021-10-05 00:00:00
145,0.492,0.0,0.0,None,2021-10-05 01:00:00
146,0.32,0.0,0.0,None,2021-10-05 02:00:00
147,0.319,0.0,0.0,None,2021-10-05 03:00:00
148,0.317,0.0,0.0,None,2021-10-05 04:00:00
149,0.316,0.0,0.0,None,2021-10-05 05:00:00
150,0.31,0.0,0.0,None,2021-10-05 06:00:00
151,0.312,0.0,0.001,None,2021-10-05 07:00:00
152,0.255,0.0,0.067,None,2021-10-05 08:00:00
153,0.151,0.0,0.188,Low,2021-10-05 09:00:00
154,0.271,0.0,0.216,None,2021-10-05 10:00:00
155,0.188,0.0,0.281,Low,2021-10-05 11:00:00
156,0.007,0.0,0.467,High,2021-10-05 12:00:00
157,0.228,0.0,0.588,High,2021-10-05 13:00:00
158,0.2,0.0,0.406,Medium,2021-10-05 14:00:00
159,0.065,0.0,0.424,High,2021-10-05 15:00:00
160,0.458,0.0,0.181,Low,2021-10-05 16:00:00
161,0.339,0.0,0.202,None,2021-10-05 17:00:00
162,0.444,0.0,0.041,None,2021-10-05 18:00:00
163,0.547,0.0,0.0,None,2021-10-05 19:00:00
164,0.969,0.0,0.0,None,2021-10-05 20:00:00
165,1.157,0.0,0.0,None,2021-10-05 21:00:00
166,0.966,0.0,0.0,None,2021-10-05 22:00:00
167,0.918,0.0,0.0,None,2021-10-05 23:00:00
168,0.935,0.0,0.0,None,2021-10-06 00:00:00
169,0.698,0.0,0.0,None,2021-10-06 01:00:00
170,0.541,0.0,0.0,None,2021-10-06 02:00:00
171,0.41,0.0,0.0,None,2021-10-06 03:00:00
172,0.401,0.0,0.0,None,2021-10-06 04:00:00
173,0.409,0.0,0.0,None,2021-10-06 05:00:00
174,0.401,0.0,0.0,None,2021-10-06 06:00:00
175,0.402,0.0,0.001,None,2021-10-06 07:00:00
176,0.401,0.0,0.252,Low,2021-10-06 08:00:00
177,0.001,0.0,0.401,Medium,2021-10-06 09:00:00
178,0.0,0.0,0.33,High,2021-10-06 10:00:00
179,0.0,0.0,0.312,Very High,2021-10-06 11:00:00
180,0.0,0.0,0.318,Very High,2021-10-06 12:00:00
181,0.005,0.0,0.323,Very High,2021-10-06 13:00:00
182,0.01,0.0,0.424,High,2021-10-06 14:00:00
183,0.0,0.0,0.407,High,2021-10-06 15:00:00
184,0.0,0.0,0.42,Medium,2021-10-06 16:00:00
185,0.344,0.0,0.256,None,2021-10-06 17:00:00
186,1.276,0.0,0.018,None,2021-10-06 18:00:00
187,0.697,0.0,0.0,None,2021-10-06 19:00:00
188,0.47,0.0,0.0,None,2021-10-06 20:00:00
189,0.516,0.0,0.0,None,2021-10-06 21:00:00
190,0.395,0.0,0.0,None,2021-10-06 22:00:00
191,0.486,0.0,0.0,None,2021-10-06 23:00:00
192,0.601,0.0,0.0,None,2021-10-07 00:00:00
193,0.369,0.0,0.0,None,2021-10-07 01:00:00
194,0.311,0.0,0.0,None,2021-10-07 02:00:00
195,0.309,0.0,0.0,None,2021-10-07 03:00:00
196,0.311,0.0,0.0,None,2021-10-07 04:00:00
197,0.309,0.0,0.0,None,2021-10-07 05:00:00
198,0.409,0.0,0.0,None,2021-10-07 06:00:00
199,0.412,0.0,0.001,None,2021-10-07 07:00:00
200,0.241,0.0,0.244,Low,2021-10-07 08:00:00
201,0.026,0.0,0.327,High,2021-10-07 09:00:00
202,0.0,0.0,0.331,High,2021-10-07 10:00:00
203,0.0,0.0,0.325,Very High,2021-10-07 11:00:00
204,0.0,0.0,0.325,Very High,2021-10-07 12:00:00
205,0.236,0.0,0.499,High,2021-10-07 13:00:00
206,0.507,0.0,0.64,High,2021-10-07 14:00:00
207,0.0,0.0,0.385,High,2021-10-07 15:00:00
208,0.0,0.0,0.33,Medium,2021-10-07 16:00:00
209,0.092,0.0,0.238,Low,2021-10-07 17:00:00
210,0.437,0.0,0.017,None,2021-10-07 18:00:00
211,0.684,0.0,0.0,None,2021-10-07 19:00:00
212,0.75,0.0,0.0,None,2021-10-07 20:00:00
213,0.682,0.0,0.0,None,2021-10-07 21:00:00
214,0.573,0.0,0.0,None,2021-10-07 22:00:00
215,0.577,0.0,0.0,None,2021-10-07 23:00:00
216,0.426,0.0,0.0,None,2021-10-08 00:00:00
217,0.376,0.0,0.0,None,2021-10-08 01:00:00
218,0.379,0.0,0.0,None,2021-10-08 02:00:00
219,0.353,0.0,0.0,None,2021-10-08 03:00:00
220,0.334,0.0,0.0,None,2021-10-08 04:00:00
221,0.333,0.0,0.0,None,2021-10-08 05:00:00
222,0.319,0.0,0.0,None,2021-10-08 06:00:00
223,0.344,0.0,0.0,None,2021-10-08 07:00:00
224,0.356,0.0,0.214,Low,2021-10-08 08:00:00
225,0.0,0.0,0.323,High,2021-10-08 09:00:00
226,0.0,0.0,0.32,High,2021-10-08 10:00:00
227,0.0,0.0,0.325,Very High,2021-10-08 11:00:00
228,0.0,0.0,0.33,Very High,2021-10-08 12:00:00
229,0.008,0.0,0.38,Very High,2021-10-08 13:00:00
230,0.0,0.0,0.381,High,2021-10-08 14:00:00
231,0.0,0.0,0.364,High,2021-10-08 15:00:00
232,0.003,0.0,0.376,Medium,2021-10-08 16:00:00
233,0.208,0.0,0.231,None,2021-10-08 17:00:00
234,0.458,0.0,0.017,None,2021-10-08 18:00:00
235,0.949,0.0,0.0,None,2021-10-08 19:00:00
236,0.882,0.0,0.0,None,2021-10-08 20:00:00
237,0.589,0.0,0.0,None,2021-10-08 21:00:00
238,0.527,0.0,0.0,None,2021-10-08 22:00:00
239,0.445,0.0,0.0,None,2021-10-08 23:00:00
240,0.375,0.0,0.0,None,2021-10-09 00:00:00
241,0.384,0.0,0.0,None,2021-10-09 01:00:00
242,0.463,0.0,0.0,None,2021-10-09 02:00:00
243,0.413,0.0,0.0,None,2021-10-09 03:00:00
244,0.34,0.0,0.0,None,2021-10-09 04:00:00
245,0.323,0.0,0.0,None,2021-10-09 05:00:00
246,0.314,0.0,0.0,None,2021-10-09 06:00:00
247,0.374,0.0,0.0,None,2021-10-09 07:00:00
248,0.232,0.0,0.09,None,2021-10-09 08:00:00
249,0.242,0.0,0.304,Medium,2021-10-09 09:00:00
250,0.0,0.0,0.455,High,2021-10-09 10:00:00
251,0.222,0.0,0.562,High,2021-10-09 11:00:00
252,0.0,0.0,0.341,Very High,2021-10-09 12:00:00
253,0.0,0.0,0.337,Very High,2021-10-09 13:00:00
254,0.0,0.0,0.334,High,2021-10-09 14:00:00
255,0.143,0.0,0.562,Medium,2021-10-09 15:00:00
256,0.075,0.0,0.476,Medium,2021-10-09 16:00:00
257,0.391,0.0,0.178,Low,2021-10-09 17:00:00
258,0.49,0.0,0.03,None,2021-10-09 18:00:00
259,1.089,0.0,0.0,None,2021-10-09 19:00:00
260,0.985,0.0,0.0,None,2021-10-09 20:00:00
261,0.732,0.0,0.0,None,2021-10-09 21:00:00
262,0.685,0.0,0.0,None,2021-10-09 22:00:00
263,0.666,0.0,0.0,None,2021-10-09 23:00:00
264,0.735,0.0,0.0,None,2021-10-10 00:00:00
265,0.566,0.0,0.0,None,2021-10-10 01:00:00
266,0.323,0.0,0.0,None,2021-10-10 02:00:00
267,0.274,0.0,0.0,None,2021-10-10 03:00:00
268,0.275,0.0,0.0,None,2021-10-10 04:00:00
269,0.274,0.0,0.0,None,2021-10-10 05:00:00
270,0.272,0.0,0.0,None,2021-10-10 06:00:00
271,0.27,0.0,0.001,None,2021-10-10 07:00:00
272,0.088,0.0,0.199,Low,2021-10-10 08:00:00
273,0.063,0.0,0.315,High,2021-10-10 09:00:00
274,0.027,0.0,0.321,High,2021-10-10 10:00:00
275,0.153,0.0,0.457,High,2021-10-10 11:00:00
276,0.958,0.0,1.016,Medium,2021-10-10 12:00:00
277,0.007,0.0,0.509,High,2021-10-10 13:00:00
278,0.014,0.0,0.388,Very High,2021-10-10 14:00:00
279,0.01,0.0,0.447,High,2021-10-10 15:00:00
280,0.016,0.0,0.346,High,2021-10-10 16:00:00
281,0.139,0.0,0.175,Low,2021-10-10 17:00:00
282,0.326,0.0,0.02,None,2021-10-10 18:00:00
283,0.489,0.0,0.0,None,2021-10-10 19:00:00
284,0.451,0.0,0.0,None,2021-10-10 20:00:00
285,0.635,0.0,0.0,None,2021-10-10 21:00:00
286,0.567,0.0,0.0,None,2021-10-10 22:00:00
287,0.556,0.0,0.0,None,2021-10-10 23:00:00
288,0.547,0.0,0.0,None,2021-10-11 00:00:00
289,0.627,0.0,0.0,None,2021-10-11 01:00:00
290,0.425,0.0,0.0,None,2021-10-11 02:00:00
291,0.36,0.0,0.0,None,2021-10-11 03:00:00
292,0.366,0.0,0.0,None,2021-10-11 04:00:00
293,0.37,0.0,0.0,None,2021-10-11 05:00:00
294,0.361,0.0,0.0,None,2021-10-11 06:00:00
295,0.382,0.0,0.002,None,2021-10-11 07:00:00
296,0.279,0.0,0.209,Medium,2021-10-11 08:00:00
297,0.001,0.0,0.255,Medium,2021-10-11 09:00:00
298,0.0,0.0,0.263,High,2021-10-11 10:00:00
299,0.0,0.0,0.264,Very High,2021-10-11 11:00:00
300,0.0,0.0,0.265,Very High,2021-10-11 12:00:00
301,0.0,0.0,0.267,Very High,2021-10-11 13:00:00
302,0.006,0.0,0.287,Very High,2021-10-11 14:00:00
303,0.001,0.0,0.318,High,2021-10-11 15:00:00
304,0.037,0.0,0.337,Medium,2021-10-11 16:00:00
305,0.262,0.0,0.119,Low,2021-10-11 17:00:00
306,0.295,0.0,0.015,None,2021-10-11 18:00:00
307,1.151,0.0,0.0,None,2021-10-11 19:00:00
308,0.566,0.0,0.0,None,2021-10-11 20:00:00
309,0.577,0.0,0.0,None,2021-10-11 21:00:00
310,0.444,0.0,0.0,None,2021-10-11 22:00:00
311,0.417,0.0,0.0,None,2021-10-11 23:00:00
312,0.445,0.0,0.0,None,2021-10-12 00:00:00
313,0.415,0.0,0.0,None,2021-10-12 01:00:00
314,0.432,0.0,0.0,None,2021-10-12 02:00:00
315,0.298,0.0,0.0,None,2021-10-12 03:00:00
316,0.261,0.0,0.0,None,2021-10-12 04:00:00
317,0.253,0.0,0.0,None,2021-10-12 05:00:00
318,0.29,0.0,0.0,None,2021-10-12 06:00:00
319,0.263,0.0,0.0,None,2021-10-12 07:00:00
320,0.307,0.0,0.16,Low,2021-10-12 08:00:00
321,0.0,0.0,0.261,High,2021-10-12 09:00:00
322,0.0,0.0,0.266,High,2021-10-12 10:00:00
323,0.0,0.0,0.273,Very High,2021-10-12 11:00:00
324,0.0,0.0,0.267,Very High,2021-10-12 12:00:00
325,0.009,0.0,0.425,Very High,2021-10-12 13:00:00
326,0.405,0.0,0.63,High,2021-10-12 14:00:00
327,0.417,0.0,0.538,High,2021-10-12 15:00:00
328,0.006,0.0,0.391,Medium,2021-10-12 16:00:00
329,0.241,0.0,0.208,Low,2021-10-12 17:00:00
330,0.454,0.0,0.012,None,2021-10-12 18:00:00
331,1.244,0.0,0.0,None,2021-10-12 19:00:00
332,0.78,0.0,0.0,None,2021-10-12 20:00:00
333,0.472,0.0,0.0,None,2021-10-12 21:00:00
334,0.511,0.0,0.0,None,2021-10-12 22:00:00
335,0.451,0.0,0.0,None,2021-10-12 23:00:00
336,0.435,0.0,0.0,None,2021-10-13 00:00:00
337,0.508,0.0,0.0,None,2021-10-13 01:00:00
338,0.375,0.0,0.0,None,2021-10-13 02:00:00
339,0.377,0.0,0.0,None,2021-10-13 03:00:00
340,0.463,0.0,0.0,None,2021-10-13 04:00:00
341,0.359,0.0,0.0,None,2021-10-13 05:00:00
342,0.352,0.0,0.0,None,2021-10-13 06:00:00
343,0.397,0.0,0.0,None,2021-10-13 07:00:00
344,0.405,0.0,0.188,Low,2021-10-13 08:00:00
345,0.024,0.0,0.266,High,2021-10-13 09:00:00
346,0.0,0.0,0.303,High,2021-10-13 10:00:00
347,0.0,0.0,0.303,Very High,2021-10-13 11:00:00
348,0.16,0.0,0.51,High,2021-10-13 12:00:00
349,0.028,0.0,0.422,Very High,2021-10-13 13:00:00
350,0.0,0.0,0.266,Very High,2021-10-13 14:00:00
351,0.0,0.0,0.26,High,2021-10-13 15:00:00
352,0.0,0.0,0.254,High,2021-10-13 16:00:00
353,0.112,0.0,0.187,Low,2021-10-13 17:00:00
354,0.333,0.0,0.011,None,2021-10-13 18:00:00
355,0.576,0.0,0.0,None,2021-10-13 19:00:00
356,0.595,0.0,0.0,None,2021-10-13 20:00:00
357,0.726,0.0,0.0,None,2021-10-13 21:00:00
358,0.395,0.0,0.0,None,2021-10-13 22:00:00
359,0.516,0.0,0.0,None,2021-10-13 23:00:00
360,0.396,0.0,0.0,None,2021-10-14 00:00:00
361,0.394,0.0,0.0,None,2021-10-14 01:00:00
362,0.398,0.0,0.0,None,2021-10-14 02:00:00
363,0.328,0.0,0.0,None,2021-10-14 03:00:00
364,0.318,0.0,0.0,None,2021-10-14 04:00:00
365,0.306,0.0,0.0,None,2021-10-14 05:00:00
366,0.301,0.0,0.0,None,2021-10-14 06:00:00
367,0.317,0.0,0.0,None,2021-10-14 07:00:00
368,0.186,0.0,0.194,Low,2021-10-14 08:00:00
369,0.003,0.0,0.343,Medium,2021-10-14 09:00:00
370,0.0,0.0,0.351,High,2021-10-14 10:00:00
371,0.001,0.0,0.294,High,2021-10-14 11:00:00
372,0.63,0.0,0.578,Medium,2021-10-14 12:00:00
373,0.461,0.0,0.51,Medium,2021-10-14 13:00:00
374,0.079,0.0,0.377,High,2021-10-14 14:00:00
375,0.0,0.0,0.345,High,2021-10-14 15:00:00
376,0.017,0.0,0.253,Medium,2021-10-14 16:00:00
377,0.113,0.0,0.17,Low,2021-10-14 17:00:00
378,0.618,0.0,0.014,None,2021-10-14 18:00:00
379,0.96,0.0,0.0,None,2021-10-14 19:00:00
380,0.94,0.0,0.0,None,2021-10-14 20:00:00
381,0.61,0.0,0.0,None,2021-10-14 21:00:00
382,0.842,0.0,0.0,None,2021-10-14 22:00:00
383,0.496,0.0,0.0,None,2021-10-14 23:00:00
384,0.438,0.0,0.0,None,2021-10-15 00:00:00
385,0.323,0.0,0.0,None,2021-10-15 01:00:00
386,0.268,0.0,0.0,None,2021-10-15 02:00:00
387,0.268,0.0,0.0,None,2021-10-15 03:00:00
388,0.252,0.0,0.0,None,2021-10-15 04:00:00
389,0.252,0.0,0.0,None,2021-10-15 05:00:00
390,0.251,0.0,0.0,None,2021-10-15 06:00:00
391,0.272,0.0,0.001,None,2021-10-15 07:00:00
392,0.752,0.0,0.124,Low,2021-10-15 08:00:00
393,0.007,0.0,0.266,Medium,2021-10-15 09:00:00
394,0.0,0.0,0.258,High,2021-10-15 10:00:00
395,0.02,0.0,0.279,Very High,2021-10-15 11:00:00
396,0.022,0.0,0.351,Very High,2021-10-15 12:00:00
397,0.0,0.0,0.263,Very High,2021-10-15 13:00:00
398,0.014,0.0,0.362,High,2021-10-15 14:00:00
399,0.0,0.0,0.265,High,2021-10-15 15:00:00
400,0.002,0.0,0.259,High,2021-10-15 16:00:00
401,0.936,0.0,0.184,Low,2021-10-15 17:00:00
402,0.825,0.0,0.006,None,2021-10-15 18:00:00
403,0.413,0.0,0.0,None,2021-10-15 19:00:00
404,0.41,0.0,0.0,None,2021-10-15 20:00:00
405,0.41,0.0,0.0,None,2021-10-15 21:00:00
406,0.474,0.0,0.0,None,2021-10-15 22:00:00
407,0.444,0.0,0.0,None,2021-10-15 23:00:00
408,0.438,0.0,0.0,None,2021-10-16 00:00:00
409,0.334,0.0,0.0,None,2021-10-16 01:00:00
410,0.315,0.0,0.0,None,2021-10-16 02:00:00
411,0.253,0.0,0.0,None,2021-10-16 03:00:00
412,0.252,0.0,0.0,None,2021-10-16 04:00:00
413,0.251,0.0,0.0,None,2021-10-16 05:00:00
414,0.249,0.0,0.0,None,2021-10-16 06:00:00
415,0.258,0.0,0.0,None,2021-10-16 07:00:00
416,0.396,0.0,0.04,None,2021-10-16 08:00:00
417,0.125,0.0,0.174,None,2021-10-16 09:00:00
418,0.035,0.0,0.227,Low,2021-10-16 10:00:00
419,0.102,0.0,0.278,Low,2021-10-16 11:00:00
420,0.57,0.0,0.267,None,2021-10-16 12:00:00
421,0.564,0.0,0.319,Low,2021-10-16 13:00:00
422,0.074,0.0,0.332,Low,2021-10-16 14:00:00
423,0.163,0.0,0.236,None,2021-10-16 15:00:00
424,0.152,0.0,0.116,None,2021-10-16 16:00:00
425,0.222,0.0,0.027,None,2021-10-16 17:00:00
426,0.322,0.0,0.0,None,2021-10-16 18:00:00
427,0.432,0.0,0.0,None,2021-10-16 19:00:00
428,0.436,0.0,0.0,None,2021-10-16 20:00:00
429,0.254,0.0,0.0,None,2021-10-16 21:00:00
430,0.253,0.0,0.0,None,2021-10-16 22:00:00
431,0.253,0.0,0.0,None,2021-10-16 23:00:00
432,1.038,0.0,0.0,None,2021-10-17 00:00:00
433,0.48,0.0,0.0,None,2021-10-17 01:00:00
434,0.334,0.0,0.0,None,2021-10-17 02:00:00
435,0.335,0.0,0.0,None,2021-10-17 03:00:00
436,0.254,0.0,0.0,None,2021-10-17 04:00:00
437,0.268,0.0,0.0,None,2021-10-17 05:00:00
438,0.322,0.0,0.0,None,2021-10-17 06:00:00
439,0.299,0.0,0.0,None,2021-10-17 07:00:00
440,0.244,0.0,0.011,None,2021-10-17 08:00:00
441,0.201,0.0,0.075,None,2021-10-17 09:00:00
442,0.249,0.0,0.137,None,2021-10-17 10:00:00
443,0.155,0.0,0.225,Medium,2021-10-17 11:00:00
444,0.507,0.0,0.32,Low,2021-10-17 12:00:00
445,1.004,0.0,0.273,None,2021-10-17 13:00:00
446,0.115,0.0,0.178,None,2021-10-17 14:00:00
447,0.165,0.0,0.146,None,2021-10-17 15:00:00
448,0.433,0.0,0.094,None,2021-10-17 16:00:00
449,0.619,0.0,0.02,None,2021-10-17 17:00:00
450,0.666,0.0,0.0,None,2021-10-17 18:00:00
451,2.077,0.0,0.0,None,2021-10-17 19:00:00
452,0.904,0.0,0.0,None,2021-10-17 20:00:00
453,0.688,0.0,0.0,None,2021-10-17 21:00:00
454,0.543,0.0,0.0,None,2021-10-17 22:00:00
455,0.418,0.0,0.0,None,2021-10-17 23:00:00
456,0.53,0.0,0.0,None,2021-10-18 00:00:00
457,0.427,0.0,0.0,None,2021-10-18 01:00:00
458,0.323,0.0,0.0,None,2021-10-18 02:00:00
459,0.326,0.0,0.0,None,2021-10-18 03:00:00
460,0.274,0.0,0.0,None,2021-10-18 04:00:00
461,0.269,0.0,0.0,None,2021-10-18 05:00:00
462,0.267,0.0,0.0,None,2021-10-18 06:00:00
463,0.288,0.0,0.0,None,2021-10-18 07:00:00
464,0.421,0.0,0.076,None,2021-10-18 08:00:00
465,0.026,0.0,0.226,Low,2021-10-18 09:00:00
466,0.0,0.0,0.253,Medium,2021-10-18 10:00:00
467,0.0,0.0,0.254,High,2021-10-18 11:00:00
468,0.0,0.0,0.268,High,2021-10-18 12:00:00
469,0.0,0.0,0.278,High,2021-10-18 13:00:00
470,0.018,0.0,0.326,High,2021-10-18 14:00:00
471,0.027,0.0,0.371,Medium,2021-10-18 15:00:00
472,0.025,0.0,0.37,Medium,2021-10-18 16:00:00
