,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Data & Hora,Unnamed: 0.1,temp,feels_like,pressure,humidity,wind_speed,clouds_all,weather_description
85,0.0,0.0,0.252,2023-01-04 13:00:00,85.0,14.08,13.35,1035.0,69.0,1.34,4.0,sky is clear
86,0.0,0.0,0.288,2023-01-04 14:00:00,86.0,14.65,13.84,1034.0,64.0,1.02,3.0,sky is clear
87,0.204,0.0,0.324,2023-01-04 15:00:00,87.0,14.6,13.87,1034.0,67.0,0.65,3.0,sky is clear
88,0.21,0.0,0.042,2023-01-04 16:00:00,88.0,14.5,13.81,1033.0,69.0,0.31,6.0,sky is clear
89,0.304,0.0,0.0,2023-01-04 17:00:00,89.0,13.81,13.07,1033.0,70.0,0.39,6.0,sky is clear
90,1.174,0.0,0.0,2023-01-04 18:00:00,90.0,12.77,12.01,1034.0,73.0,0.96,1.0,sky is clear
91,1.826,0.0,0.0,2023-01-04 19:00:00,91.0,12.09,11.31,1034.0,75.0,1.57,2.0,sky is clear
92,1.262,0.0,0.0,2023-01-04 20:00:00,92.0,11.56,10.83,1034.0,79.0,1.88,0.0,sky is clear
93,0.808,0.0,0.0,2023-01-04 21:00:00,93.0,11.06,10.44,1033.0,85.0,1.98,1.0,sky is clear
94,0.0,0.662,0.0,2023-01-04 22:00:00,94.0,10.46,9.81,1033.0,86.0,1.99,0.0,sky is clear
95,0.0,0.472,0.0,2023-01-04 23:00:00,95.0,9.89,9.14,1033.0,84.0,1.91,0.0,sky is clear
96,0.0,0.418,0.0,2023-01-05 00:00:00,96.0,10.26,9.43,1032.0,80.0,2.06,0.0,sky is clear
97,0.0,0.361,0.0,2023-01-05 01:00:00,97.0,6.21,4.55,1032.0,92.0,2.25,0.0,sky is clear
98,0.0,0.357,0.0,2023-01-05 02:00:00,98.0,7.69,6.21,1032.0,91.0,2.34,0.0,sky is clear
99,0.0,0.319,0.0,2023-01-05 03:00:00,99.0,7.69,6.17,1031.0,93.0,2.39,0.0,sky is clear
100,0.0,0.308,0.0,2023-01-05 04:00:00,100.0,6.77,5.16,1031.0,94.0,2.3,0.0,sky is clear
101,0.0,0.303,0.0,2023-01-05 05:00:00,101.0,5.15,3.32,1030.0,95.0,2.23,0.0,sky is clear
102,0.0,0.308,0.0,2023-01-05 06:00:00,102.0,5.85,4.08,1030.0,94.0,2.3,0.0,sky is clear
103,0.0,0.829,0.0,2023-01-05 07:00:00,103.0,6.67,5.05,1030.0,95.0,2.29,1.0,sky is clear
104,0.381,0.0,0.094,2023-01-05 08:00:00,104.0,5.75,4.01,1030.0,94.0,2.24,2.0,sky is clear
105,0.0,0.0,0.335,2023-01-05 09:00:00,105.0,7.48,5.65,1031.0,92.0,2.75,2.0,sky is clear
106,0.336,0.0,0.616,2023-01-05 10:00:00,106.0,12.19,10.98,1031.0,58.0,2.46,0.0,sky is clear
107,0.0,0.0,0.337,2023-01-05 11:00:00,107.0,13.34,12.24,1031.0,58.0,2.02,0.0,sky is clear
108,0.057,0.0,0.424,2023-01-05 12:00:00,108.0,13.96,13.0,1030.0,61.0,1.76,0.0,sky is clear
109,0.0,0.0,0.343,2023-01-05 13:00:00,109.0,14.46,13.58,1029.0,62.0,1.61,0.0,sky is clear
110,0.0,0.0,0.292,2023-01-05 14:00:00,110.0,14.69,13.96,1028.0,67.0,1.47,0.0,sky is clear
111,0.0,0.0,0.293,2023-01-05 15:00:00,111.0,14.18,13.14,1028.0,57.0,1.35,2.0,sky is clear
112,0.247,0.0,0.049,2023-01-05 16:00:00,112.0,14.11,13.14,1028.0,60.0,0.83,0.0,sky is clear
113,0.321,0.0,0.0,2023-01-05 17:00:00,113.0,12.46,11.46,1028.0,65.0,1.02,0.0,sky is clear
114,0.89,0.0,0.0,2023-01-05 18:00:00,114.0,11.6,10.62,1028.0,69.0,0.53,0.0,sky is clear
115,1.752,0.0,0.0,2023-01-05 19:00:00,115.0,10.49,9.5,1028.0,73.0,1.03,2.0,sky is clear
116,0.817,0.0,0.0,2023-01-05 20:00:00,116.0,9.58,9.11,1028.0,78.0,1.56,0.0,sky is clear
117,1.256,0.0,0.0,2023-01-05 21:00:00,117.0,9.0,8.16,1028.0,81.0,1.85,0.0,sky is clear
118,0.0,2.771,0.0,2023-01-05 22:00:00,118.0,8.48,7.5,1028.0,83.0,1.91,0.0,sky is clear
119,0.0,2.215,0.0,2023-01-05 23:00:00,119.0,7.1,5.92,1028.0,92.0,1.89,1.0,sky is clear
120,0.0,1.78,0.0,2023-01-06 00:00:00,120.0,7.87,6.85,1028.0,85.0,1.85,2.0,sky is clear
121,0.0,0.95,0.0,2023-01-06 01:00:00,121.0,6.69,5.52,1027.0,92.0,1.82,5.0,sky is clear
122,0.0,0.713,0.0,2023-01-06 02:00:00,122.0,6.59,5.45,1027.0,93.0,1.77,11.0,few clouds
123,0.0,0.47,0.0,2023-01-06 03:00:00,123.0,6.77,5.47,1027.0,95.0,1.96,18.0,few clouds
124,0.0,0.497,0.0,2023-01-06 04:00:00,124.0,6.29,4.87,1027.0,94.0,2.0,39.0,scattered clouds
125,0.0,0.443,0.0,2023-01-06 05:00:00,125.0,5.57,3.86,1026.0,94.0,2.18,60.0,broken clouds
126,0.0,0.792,0.0,2023-01-06 06:00:00,126.0,5.7,3.99,1026.0,90.0,2.2,42.0,scattered clouds
127,0.0,1.763,0.0,2023-01-06 07:00:00,127.0,5.7,3.92,1026.0,92.0,2.28,54.0,broken clouds
128,0.947,0.0,0.074,2023-01-06 08:00:00,128.0,5.69,3.84,1027.0,89.0,2.36,66.0,broken clouds
129,0.245,0.0,0.406,2023-01-06 09:00:00,129.0,4.64,2.16,1027.0,94.0,2.88,74.0,broken clouds
130,0.164,0.0,0.421,2023-01-06 10:00:00,130.0,5.7,3.3,1027.0,92.0,3.06,75.0,broken clouds
131,0.052,0.0,0.449,2023-01-06 11:00:00,131.0,8.48,6.87,1027.0,91.0,2.71,86.0,overcast clouds
132,0.067,0.0,0.394,2023-01-06 12:00:00,132.0,10.21,9.4,1027.0,81.0,2.68,89.0,overcast clouds
133,0.018,0.0,0.436,2023-01-06 13:00:00,133.0,10.79,10.07,1026.0,82.0,2.81,90.0,overcast clouds
134,0.0,0.0,0.444,2023-01-06 14:00:00,134.0,11.4,10.71,1025.0,81.0,3.6,96.0,overcast clouds
135,0.222,0.0,0.223,2023-01-06 15:00:00,135.0,10.98,10.27,1024.0,82.0,3.81,97.0,overcast clouds
136,0.457,0.0,0.046,2023-01-06 16:00:00,136.0,11.44,10.75,1024.0,81.0,3.56,97.0,overcast clouds
137,0.586,0.0,0.0,2023-01-06 17:00:00,137.0,10.88,10.22,1024.0,84.0,3.25,83.0,broken clouds
138,1.821,0.0,0.0,2023-01-06 18:00:00,138.0,10.87,10.18,1024.0,83.0,3.19,73.0,broken clouds
139,1.046,0.0,0.0,2023-01-06 19:00:00,139.0,10.79,10.04,1024.0,81.0,3.37,49.0,scattered clouds
140,0.413,0.0,0.0,2023-01-06 20:00:00,140.0,10.76,9.98,1023.0,80.0,3.38,57.0,broken clouds
141,0.36,0.0,0.0,2023-01-06 21:00:00,141.0,10.28,9.5,1023.0,82.0,3.32,88.0,overcast clouds
142,0.0,0.369,0.0,2023-01-06 22:00:00,142.0,10.85,10.13,1023.0,82.0,4.57,88.0,light rain
143,0.0,0.375,0.0,2023-01-06 23:00:00,143.0,10.94,10.26,1022.0,83.0,5.07,95.0,light rain
144,0.0,0.732,0.0,2023-01-07 00:00:00,144.0,11.45,10.79,1022.0,82.0,5.48,100.0,light rain
145,0.0,0.605,0.0,2023-01-07 01:00:00,145.0,11.47,10.87,1021.0,84.0,5.75,100.0,light rain
146,0.0,0.493,0.0,2023-01-07 02:00:00,146.0,10.99,10.39,1021.0,86.0,5.99,100.0,light rain
147,0.0,1.073,0.0,2023-01-07 03:00:00,147.0,11.49,10.99,1020.0,88.0,6.28,100.0,moderate rain
148,0.0,0.777,0.0,2023-01-07 04:00:00,148.0,12.86,12.55,1019.0,90.0,6.46,100.0,moderate rain
149,0.0,0.469,0.0,2023-01-07 05:00:00,149.0,12.9,12.65,1018.0,92.0,6.77,100.0,moderate rain
150,0.0,0.412,0.0,2023-01-07 06:00:00,150.0,12.92,12.7,1018.0,93.0,7.02,100.0,moderate rain
151,0.0,0.408,0.0,2023-01-07 07:00:00,151.0,12.91,12.68,1017.0,93.0,7.19,100.0,heavy intensity rain
152,0.383,0.0,0.0,2023-01-07 08:00:00,152.0,12.91,12.68,1017.0,93.0,7.15,100.0,moderate rain
153,0.343,0.0,0.023,2023-01-07 09:00:00,153.0,13.5,13.33,1017.0,93.0,6.85,100.0,moderate rain
154,0.333,0.0,0.03,2023-01-07 10:00:00,154.0,13.48,13.34,1017.0,94.0,6.75,100.0,moderate rain
155,0.415,0.0,0.057,2023-01-07 11:00:00,155.0,14.09,14.01,1017.0,94.0,6.69,100.0,moderate rain
156,0.61,0.0,0.061,2023-01-07 12:00:00,156.0,14.1,14.02,1017.0,94.0,7.11,100.0,moderate rain
157,0.533,0.0,0.065,2023-01-07 13:00:00,157.0,14.02,13.96,1017.0,95.0,6.14,100.0,moderate rain
158,0.536,0.0,0.02,2023-01-07 14:00:00,158.0,14.17,14.12,1017.0,95.0,5.03,100.0,light rain
159,0.922,0.0,0.005,2023-01-07 15:00:00,159.0,13.12,12.97,1017.0,95.0,4.0,100.0,light rain
160,0.678,0.0,0.001,2023-01-07 16:00:00,160.0,13.01,12.85,1017.0,95.0,2.2,98.0,light rain
161,0.521,0.0,0.0,2023-01-07 17:00:00,161.0,12.96,12.79,1016.0,95.0,2.62,100.0,light rain
162,0.563,0.0,0.0,2023-01-07 18:00:00,162.0,12.24,12.0,1017.0,95.0,3.03,97.0,light rain
163,0.668,0.0,0.0,2023-01-07 19:00:00,163.0,11.86,11.58,1018.0,95.0,3.27,100.0,light rain
164,0.523,0.0,0.0,2023-01-07 20:00:00,164.0,11.98,11.71,1018.0,95.0,3.35,100.0,light rain
165,0.338,0.0,0.0,2023-01-07 21:00:00,165.0,11.97,11.7,1018.0,95.0,3.63,100.0,light rain
166,0.0,0.34,0.0,2023-01-07 22:00:00,166.0,11.97,11.68,1018.0,94.0,4.46,100.0,light rain
167,0.0,0.411,0.0,2023-01-07 23:00:00,167.0,11.97,11.7,1017.0,95.0,5.13,100.0,moderate rain
168,0.0,0.677,0.0,2023-01-08 00:00:00,168.0,11.97,11.7,1017.0,95.0,5.02,100.0,moderate rain
169,0.0,0.286,0.0,2023-01-08 01:00:00,169.0,11.4,11.08,1017.0,95.0,5.43,100.0,moderate rain
170,0.0,0.26,0.0,2023-01-08 02:00:00,170.0,11.39,11.07,1016.0,95.0,5.18,100.0,moderate rain
171,0.0,0.258,0.0,2023-01-08 03:00:00,171.0,11.9,11.63,1015.0,95.0,4.35,100.0,moderate rain
172,0.0,0.255,0.0,2023-01-08 04:00:00,172.0,12.47,12.25,1014.0,95.0,4.17,100.0,moderate rain
173,0.0,0.283,0.0,2023-01-08 05:00:00,173.0,12.98,12.81,1012.0,95.0,5.33,100.0,moderate rain
174,0.0,0.752,0.0,2023-01-08 06:00:00,174.0,14.55,14.54,1011.0,95.0,7.88,100.0,moderate rain
175,0.0,0.28,0.0,2023-01-08 07:00:00,175.0,15.19,15.25,1011.0,95.0,9.87,90.0,moderate rain
176,0.259,0.0,0.001,2023-01-08 08:00:00,176.0,14.68,14.68,1012.0,95.0,8.37,91.0,moderate rain
177,0.226,0.0,0.05,2023-01-08 09:00:00,177.0,14.68,14.68,1014.0,95.0,6.63,96.0,light rain
178,0.185,0.0,0.095,2023-01-08 10:00:00,178.0,14.1,14.05,1015.0,95.0,5.55,94.0,light rain
179,0.94,0.0,0.105,2023-01-08 11:00:00,179.0,14.08,14.02,1016.0,95.0,5.09,95.0,light rain
180,1.277,0.0,0.17,2023-01-08 12:00:00,180.0,13.51,13.4,1015.0,95.0,4.87,100.0,light rain
181,1.165,0.0,0.123,2023-01-08 13:00:00,181.0,13.48,13.36,1015.0,95.0,4.7,100.0,light rain
182,1.999,0.0,0.077,2023-01-08 14:00:00,182.0,13.49,13.38,1015.0,95.0,4.73,100.0,light rain
183,2.19,0.0,0.025,2023-01-08 15:00:00,183.0,13.51,13.4,1015.0,95.0,4.33,100.0,light rain
184,1.681,0.0,0.011,2023-01-08 16:00:00,184.0,13.59,13.49,1016.0,95.0,3.98,97.0,light rain
185,0.797,0.0,0.0,2023-01-08 17:00:00,185.0,13.01,12.85,1016.0,95.0,3.86,93.0,light rain
186,0.659,0.0,0.0,2023-01-08 18:00:00,186.0,13.01,12.87,1017.0,96.0,3.72,94.0,light rain
187,0.929,0.0,0.0,2023-01-08 19:00:00,187.0,12.53,12.32,1018.0,95.0,2.88,92.0,overcast clouds
188,0.719,0.0,0.0,2023-01-08 20:00:00,188.0,12.42,12.2,1019.0,95.0,2.7,85.0,overcast clouds
189,0.418,0.0,0.0,2023-01-08 21:00:00,189.0,12.41,12.21,1020.0,96.0,2.34,81.0,broken clouds
190,0.0,0.384,0.0,2023-01-08 22:00:00,190.0,12.31,12.1,1020.0,96.0,1.76,100.0,overcast clouds
191,0.0,0.395,0.0,2023-01-08 23:00:00,191.0,12.38,12.18,1021.0,96.0,2.48,99.0,overcast clouds
192,0.0,0.719,0.0,2023-01-09 00:00:00,192.0,11.82,11.56,1021.0,96.0,2.52,92.0,overcast clouds
193,0.0,0.342,0.0,2023-01-09 01:00:00,193.0,11.29,10.98,1022.0,96.0,2.44,89.0,overcast clouds
194,0.0,0.262,0.0,2023-01-09 02:00:00,194.0,11.4,11.1,1022.0,96.0,2.54,69.0,broken clouds
195,0.0,0.256,0.0,2023-01-09 03:00:00,195.0,10.77,10.41,1023.0,96.0,2.48,44.0,scattered clouds
196,0.0,0.254,0.0,2023-01-09 04:00:00,196.0,10.77,10.41,1023.0,96.0,2.19,68.0,broken clouds
197,0.0,0.253,0.0,2023-01-09 05:00:00,197.0,10.2,9.78,1023.0,96.0,1.88,88.0,overcast clouds
198,0.0,0.255,0.0,2023-01-09 06:00:00,198.0,9.67,8.69,1024.0,96.0,2.15,72.0,broken clouds
199,0.0,1.127,0.0,2023-01-09 07:00:00,199.0,9.18,8.29,1025.0,96.0,1.94,68.0,broken clouds
200,0.407,0.0,0.026,2023-01-09 08:00:00,200.0,9.09,9.09,1026.0,96.0,1.07,62.0,broken clouds
201,0.193,0.0,0.184,2023-01-09 09:00:00,201.0,9.61,9.61,1027.0,96.0,0.31,54.0,broken clouds
202,0.056,0.0,0.425,2023-01-09 10:00:00,202.0,10.76,10.37,1027.0,95.0,0.16,40.0,scattered clouds
203,0.286,0.0,0.38,2023-01-09 11:00:00,203.0,11.94,11.64,1029.0,94.0,0.44,43.0,scattered clouds
204,0.0,0.0,0.242,2023-01-09 12:00:00,204.0,12.54,11.94,1028.0,80.0,0.6,56.0,broken clouds
205,0.0,0.0,0.245,2023-01-09 13:00:00,205.0,12.58,11.96,1028.0,79.0,1.22,73.0,broken clouds
206,0.0,0.0,0.322,2023-01-09 14:00:00,206.0,13.01,12.3,1028.0,74.0,1.6,83.0,broken clouds
207,0.066,0.0,0.265,2023-01-09 15:00:00,207.0,13.61,12.91,1028.0,72.0,1.69,89.0,overcast clouds
208,0.236,0.0,0.08,2023-01-09 16:00:00,208.0,13.12,12.39,1028.0,73.0,1.5,85.0,overcast clouds
209,0.314,0.0,0.0,2023-01-09 17:00:00,209.0,12.5,11.87,1028.0,79.0,1.29,47.0,scattered clouds
210,1.54,0.0,0.0,2023-01-09 18:00:00,210.0,11.23,10.55,1029.0,82.0,1.05,39.0,scattered clouds
211,2.478,0.0,0.0,2023-01-09 19:00:00,211.0,10.62,9.93,1029.0,84.0,1.24,45.0,scattered clouds
212,0.643,0.0,0.0,2023-01-09 20:00:00,212.0,10.72,10.09,1030.0,86.0,1.61,53.0,broken clouds
213,1.644,0.0,0.0,2023-01-09 21:00:00,213.0,10.22,9.57,1030.0,87.0,1.7,76.0,broken clouds
214,0.0,0.674,0.0,2023-01-09 22:00:00,214.0,10.24,9.59,1030.0,87.0,1.48,79.0,broken clouds
215,0.0,0.532,0.0,2023-01-09 23:00:00,215.0,9.65,9.04,1030.0,88.0,1.71,93.0,overcast clouds
216,0.0,0.346,0.0,2023-01-10 00:00:00,216.0,10.15,9.54,1030.0,89.0,1.74,100.0,overcast clouds
217,0.0,0.341,0.0,2023-01-10 01:00:00,217.0,10.2,9.6,1030.0,89.0,1.73,98.0,overcast clouds
218,0.0,0.292,0.0,2023-01-10 02:00:00,218.0,10.18,9.5,1030.0,86.0,1.87,100.0,overcast clouds
219,0.0,0.28,0.0,2023-01-10 03:00:00,219.0,10.72,10.2,1030.0,90.0,1.92,100.0,overcast clouds
220,0.0,0.268,0.0,2023-01-10 04:00:00,220.0,10.69,10.24,1030.0,93.0,2.03,99.0,overcast clouds
221,0.0,0.286,0.0,2023-01-10 05:00:00,221.0,10.69,10.27,1030.0,94.0,2.08,100.0,overcast clouds
222,0.0,0.254,0.0,2023-01-10 06:00:00,222.0,10.69,10.27,1029.0,94.0,2.14,100.0,overcast clouds
